"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"BEL",0.3333333333333333,0,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.2777777777777778,0.962962962962963,0.8518518518518519,0.6349133205017591,1,0.853448275862069
"BEN",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.19722222359722225,0,0,0,0.21296296296296297,0.19657012907417287,5,0.29310344827586204
"BES",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"BFA",0,0.5093589757089744,0,0.4722222222222222,0,0,0.06094771266830065,0.5750000024166667,0,0,0,0.21296296296296297,0.15254098966492724,7,0.16379310344827586
"BGD",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.3616830072859477,0.663888891638889,0,0,0,0.21296296296296297,0.2303800420219534,5,0.3275862068965517
"BGR",0,0.5093589757089744,0.5811965811965811,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.46307189642483665,0.8388888926805557,1,0.2777777777777778,0.33888888888888885,0.8518518518518519,0.5113362389712055,1,0.6551724137931034
"BHR",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.19722222359722225,0,0,0,0.21296296296296297,0.07420116208167665,8,0.06034482758620689
"BHS",0,0,0,0.3037037037037037,0,0,0,0.5750000024166667,0,0,0,0.21296296296296297,0.09097222242361111,9,0.07758620689655173
"BIH",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.21454021480675836,6,0.28448275862068967
"BLM",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"BLR",0,0.5093589757089744,0,0.3037037037037037,0,0,0.06094771266830065,0.5750000024166667,0,0,0,0.21296296296296297,0.13849777978838404,7,0.15517241379310345
"BLZ",0,0,0,0.3037037037037037,0,0,0,0.48611111319444444,0,0,0,0.21296296296296297,0.08356481498842593,9,0.06896551724137931
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"BOL",0,0,0,0.4722222222222222,0.29259259259259257,0.3750000031250001,0.3812908504232026,0.663888891638889,0,0,0,0.21296296296296297,0.19982979358040578,6,0.2672413793103448
"BRA",0,0,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.5281862755098039,0.663888891638889,0,0,0,0.7314814814814814,0.26654638764626454,6,0.3448275862068966
"BRB",0,0,0,0.3037037037037037,0.2324074074074074,0.3750000031250001,0.320343137754902,0.5750000024166667,0,0,0,0.21296296296296297,0.16828476811422025,6,0.23275862068965517
"BRN",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.10833333437500002,0,0,0,0.21296296296296297,0.06679375464649147,8,0.05172413793103448
"BTN",0,0.5093589757089744,0,0.4388888888888889,0,0,0.04133986953104575,0.19722222359722225,0,0,0,0.21296296296296297,0.11664774339075784,7,0.12931034482758622
"BVT",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"BWA",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2354590180776451,5,0.33620689655172414
"CAF",0,0,0,0.3037037037037037,0,0,0,0.10833333437500002,0,0,0,0.21296296296296297,0.05208333342013889,9,0.034482758620689655
"CAN",0.3333333333333333,0.34534188099188035,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5076797393120915,0.9277777819027778,1,0.4444444444444444,0.962962962962963,0.8518518518518519,0.6381118848611077,1,0.7844827586206896
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"CHE",0,0.8547008567008547,0.5811965811965811,0.7203703703703703,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.5500000030833334,1,0.2777777777777778,0.962962962962963,0.611111111111111,0.6268174041523704,1,0.7931034482758621
"CHL",0.3333333333333333,0.34534188099188035,0,0.8888888888888888,0.6728395061728395,0.7222222284722224,0.5686274519803922,0.9277777819027778,1,0.4444444444444444,0.962962962962963,0.8518518518518519,0.6431908609167994,1,0.7931034482758621
